Sample,RT,mz,RTobs,dRT,mzobs,dppm,intensity,area,compound
SM-6JWO4,432.6,369.3519,437.520156,4.920155999999963,369.3515319824219,-1.299344512820785,122393.5,111322.2639546494,cholesterol
SM-6JWO4,420.0,385.3465,424.951014,4.951013999999987,385.3463134765625,-0.484040824275852,232574.3,310459.8982184446,cholestenone
SM-6JWO4,450.0,371.3583,445.00815,-4.99185,371.3589782714844,2.319530634267148,39636.65,38483.36500532791,coprostanol
SM-7CRWL,432.6,369.3519,437.520288,4.920287999999971,369.35125732421875,-0.968845840687245,117899.1,107047.0613298852,cholesterol
SM-7CRWL,420.0,385.3465,424.951152,4.951151999999979,385.3468933105469,1.680626910958838,398291.9,195480.4308275598,cholestenone
SM-7CRWL,450.0,371.3583,447.949914,-2.050086000000022,371.3589782714844,1.826461087282471,22234.09,23761.54349397643,coprostanol
SM-73BN6,432.6,369.3519,437.520042,4.920041999999967,369.3516540527344,-0.831138060682903,21694.09,76280.61454816983,cholesterol
SM-73BN6,420.0,385.3465,424.950912,4.950912000000017,385.34600830078125,-0.114463406122617,59066.55,147829.6988197801,cholestenone
SM-73BN6,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-9PPUW,432.6,369.3519,434.310864,1.710863999999958,369.354736328125,8.38151242503952,104241.8,246427.7657505627,cholesterol
SM-9PPUW,420.0,385.3465,423.881238,3.881237999999996,385.34600830078125,-0.035268245079244,68987.91,214653.4277594638,cholestenone
SM-9PPUW,450.0,371.3583,445.008,-4.992000000000019,371.3583068847656,0.223985059582269,28950.22,0.0,coprostanol
SM-7IWFL,432.6,369.3519,437.520786,4.920785999999964,369.3514099121094,-0.941304284778717,65152.02,37035.00126094836,cholesterol
SM-7IWFL,420.0,385.3465,424.95165,4.951649999999972,385.34637451171875,-0.536837598255596,268667.7,277465.9915548051,cholestenone
SM-7IWFL,450.0,371.3583,445.54353,-4.456470000000024,371.3582458496094,-0.14581710065624,22437.62,48256.62865139607,coprostanol
SM-6X9WE,432.6,369.3519,437.253258,4.653257999999994,369.35107421875,-2.235757417250448,24443.68,85109.16809250876,cholesterol
SM-6X9WE,420.0,385.3465,424.9515,4.95150000000001,385.3464050292969,-0.272853728209362,70183.32,158279.9735363096,cholestenone
SM-6X9WE,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-9WOBT,432.6,369.3519,427.892706,-4.707294000000047,369.3509216308594,-2.648880757417373,26605.75,0.0,cholesterol
SM-9WOBT,420.0,385.3465,424.950972,4.950971999999979,385.3465270996094,-0.536837598255596,110569.5,204770.0069440528,cholestenone
SM-9WOBT,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-7IL14,432.6,369.3519,437.520708,4.920707999999991,369.351318359375,-1.271802956912257,135473.7,223948.975801208,cholesterol
SM-7IL14,420.0,385.3465,424.951584,4.951584000000025,385.3464660644531,-0.299252115125478,102592.7,147036.9626221053,cholestenone
SM-7IL14,450.0,371.3583,445.810962,-4.189037999999982,371.3581237792969,-0.474530131979358,24873.67,0.0,coprostanol
SM-71WXD,432.6,369.3519,437.520198,4.920197999999971,369.3515625,-0.638347168553705,104511.3,114798.7758819245,cholesterol
SM-71WXD,420.0,385.3465,424.951068,4.951068000000021,385.3460388183594,-0.536837598255596,93514.79,157585.6048091975,cholestenone
SM-71WXD,450.0,371.3583,445.54308,-4.456920000000025,371.35894775390625,1.744282829451692,25551.64,0.0,coprostanol
SM-7BF1T,432.6,369.3519,434.04324,1.443240000000003,369.3554992675781,9.854985671686185,67149.6,125693.4880404301,cholesterol
SM-7BF1T,420.0,385.3465,424.950738,4.950738000000001,385.3458557128906,-0.695227920342342,53518.41,133590.9944033861,cholestenone
SM-7BF1T,450.0,371.3583,445.00788,-4.99212,371.3581848144531,-0.351262745233189,26434.15,0.0,coprostanol
SM-A5QNE,432.6,369.3519,436.985298,4.385297999999978,369.35101318359375,-2.401006753317218,28023.39,33777.72951330775,cholesterol
SM-A5QNE,420.0,385.3465,424.95105,4.951050000000009,385.3464660644531,-0.035268245079244,145383.2,191867.622531333,cholestenone
SM-A5QNE,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-6WU1I,432.6,369.3519,437.52051,4.920509999999979,369.352294921875,0.931521524080609,182207.0,206636.2790211699,cholesterol
SM-6WU1I,420.0,385.3465,424.951386,4.951386000000014,385.3465576171875,0.043926915964128,507674.7,379155.3943510356,cholestenone
SM-6WU1I,450.0,371.3583,445.008516,-4.991484000000014,371.35833740234375,-0.10472797174085,31269.69,46916.59898754566,coprostanol
SM-A312T,432.6,369.3519,432.974058,0.374057999999991,369.3555908203125,9.620882445540294,184955.0,559610.347421367,cholesterol
SM-A312T,420.0,385.3465,424.951188,4.951188000000002,385.3466491699219,0.387105947201247,214199.4,303717.1110050287,cholestenone
SM-A312T,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-7ED9N,432.6,369.3519,433.776228,1.176227999999981,369.3553466796875,9.331696107423447,179471.6,582482.4064671264,cholesterol
SM-7ED9N,420.0,385.3465,424.951104,4.951103999999987,385.34619140625,-0.589634372382853,279365.3,185893.1089788566,cholestenone
SM-7ED9N,450.0,371.3583,445.810488,-4.189511999999979,371.3586730957031,-0.762154034387087,17444.83,11382.91802261141,coprostanol
SM-9QMN9,432.6,369.3519,437.52012,4.920119999999997,369.3514709472656,-0.968845840687245,102306.7,78180.81027283346,cholesterol
SM-9QMN9,420.0,385.3465,419.334984,-0.66501599999998,385.3467712402344,0.703886591374738,54313.6,228615.6153427096,cholestenone
SM-9QMN9,450.0,371.3583,445.275498,-4.724501999999973,371.35809326171875,-0.556708389810138,37329.04,53877.99919669819,coprostanol
SM-72ZHG,432.6,369.3519,435.915906,3.315905999999984,369.3555908203125,9.992693451690526,307475.4,351876.1208688268,cholesterol
SM-72ZHG,420.0,385.3465,424.951404,4.951404000000025,385.34649658203125,0.202317238050874,135352.5,183475.5568816722,cholestenone
SM-72ZHG,450.0,371.3583,446.345664,-3.654336000000001,371.3584899902344,0.511608961989997,17441.7,0.0,coprostanol
SM-AVPGV,432.6,369.3519,433.77675,1.17674999999997,369.3517150878906,-1.079012064783058,18160.38,63742.62023968311,cholesterol
SM-AVPGV,420.0,385.3465,424.95162,4.951619999999991,385.3462829589844,-0.19365856716599,75647.31,128748.5180514839,cholestenone
SM-AVPGV,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-B58G1,432.6,369.3519,436.985436,4.38543599999997,369.3514709472656,-0.335390052482594,20133.2,43987.82671563239,cholesterol
SM-B58G1,420.0,385.3465,424.951182,4.951182000000017,385.34661865234375,0.25511401217813,98027.19,127880.5911925798,cholestenone
SM-B58G1,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-9W3AD,432.6,369.3519,428.69505,-3.904950000000042,369.350830078125,-2.896754761517527,15048.03,52971.16201542512,cholesterol
SM-9W3AD,420.0,385.3465,419.067672,-0.932327999999984,385.3466491699219,-0.536837598255596,49865.7,167652.7310881115,cholestenone
SM-9W3AD,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
PREFA02,432.6,369.3519,437.520102,4.920101999999986,369.351318359375,-1.574760072983368,160846.8,164388.7994978808,cholesterol
PREFA02,420.0,385.3465,424.950972,4.950971999999979,385.34625244140625,-0.563235985319225,1500589.0,582151.9489449679,cholestenone
PREFA02,450.0,371.3583,445.27548,-4.724519999999984,371.3581237792969,-0.474530131979358,23111.16,0.0,coprostanol
PREFB02,432.6,369.3519,427.625898,-4.974102000000016,369.35113525390625,-2.60756842340068,41279.2,20562.21821908582,cholesterol
PREFB02,420.0,385.3465,422.277396,2.27739600000001,385.3467712402344,0.545496269287993,75918.1,299182.0511771088,cholestenone
PREFB02,450.0,371.3583,445.54353,-4.456470000000024,371.35736083984375,-2.528986577748848,20397.0,0.0,coprostanol
SM-9ZEPA,432.6,369.3519,436.450692,3.850691999999981,369.3511047363281,-2.153132749217063,16748.86,35295.81295765734,cholesterol
SM-9ZEPA,420.0,385.3465,422.811798,2.81179800000001,385.3463439941406,-0.404845663232479,46581.55,174232.9780203017,cholestenone
SM-9ZEPA,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-9QVK2,432.6,369.3519,429.230166,-3.369834000000026,369.3509216308594,-2.648880757417373,19258.4,0.0,cholesterol
SM-9QVK2,420.0,385.3465,421.74216,1.742160000000013,385.34649658203125,0.281512399094246,67223.56,227031.9996863892,cholestenone
SM-9QVK2,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-A7J1X,432.6,369.3519,437.519658,4.91965799999997,369.3511047363281,-2.153132749217063,20935.03,40166.16925281174,cholesterol
SM-A7J1X,420.0,385.3465,418.799772,-1.200227999999981,385.3460998535156,-0.484040824275852,55864.5,197668.9536692514,cholestenone
SM-A7J1X,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-AFCKH,432.6,369.3519,434.845998,2.245997999999986,369.3514404296875,-1.244261400849828,21424.15,43273.9983273491,cholesterol
SM-AFCKH,420.0,385.3465,424.951116,4.951116000000013,385.3465881347656,-0.140861793038733,63876.01,122729.2640036171,cholestenone
SM-AFCKH,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-6CAJC,432.6,369.3519,431.369178,-1.230822000000046,369.3513488769531,-1.492135404949983,19215.41,69584.23086496556,cholesterol
SM-6CAJC,420.0,385.3465,424.14855,4.14855,385.346923828125,-0.246455341145734,29281.26,108698.0491988586,cholestenone
SM-6CAJC,450.0,371.3583,445.275438,-4.724561999999992,371.3579406738281,-0.967599678964035,18325.44,0.0,coprostanol
SM-7HXJO,432.6,369.3519,437.520468,4.920467999999971,369.3516845703125,-0.913762728716289,27254.16,77614.7284787194,cholesterol
SM-7HXJO,420.0,385.3465,422.277084,2.277084000000002,385.3463439941406,0.109922883549443,32186.63,153001.5579394243,cholestenone
SM-7HXJO,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-6ZEU8,432.6,369.3519,437.520756,4.920755999999983,369.3517761230469,-0.252765384449209,23689.59,81245.13119691196,cholesterol
SM-6ZEU8,420.0,385.3465,423.079626,3.079626000000019,385.3460693359375,-0.959211790536088,45091.71,170808.3533081604,cholestenone
SM-6ZEU8,450.0,371.3583,445.543512,-4.456487999999979,371.3587951660156,1.333391540297793,21438.85,14397.4393981228,coprostanol
SM-77FXR,432.6,369.3519,437.520684,4.920683999999994,369.3506164550781,-2.235757417250448,112209.3,120547.2919262117,cholesterol
SM-77FXR,420.0,385.3465,421.475046,1.47504600000002,385.34637451171875,-0.536837598255596,50797.4,173777.2156691438,cholestenone
SM-77FXR,450.0,371.3583,445.008684,-4.991315999999983,371.3583068847656,0.01853941500532,38756.06,60748.7098672795,coprostanol
SM-5Q4W7,432.6,369.3519,437.520306,4.920305999999982,369.35174560546875,-0.418014720515979,22778.59,59786.87690196667,cholesterol
SM-5Q4W7,420.0,385.3465,423.614052,3.614052000000015,385.3464660644531,-1.117602112622833,66496.17,143664.155165352,cholestenone
SM-5Q4W7,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-5ZNHM,432.6,369.3519,437.520234,4.920233999999994,369.350830078125,-1.905258745116908,18031.1,53211.32573493212,cholesterol
SM-5ZNHM,420.0,385.3465,420.939726,0.939726000000007,385.3465576171875,-0.352048889252735,50683.87,199191.9521946223,cholestenone
SM-5ZNHM,450.0,371.3583,445.275612,-4.724387999999976,371.3585205078125,0.593787219820777,20378.51,0.0,coprostanol
SM-6KUCT,432.6,369.3519,436.718022,4.118021999999996,369.35162353515625,-0.748513392649519,19064.66,29000.14221459127,cholesterol
SM-6KUCT,420.0,385.3465,419.33526,-0.664739999999995,385.3464050292969,-0.602833565840911,46604.81,194081.4950692733,cholestenone
SM-6KUCT,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-9SKIL,432.6,369.3519,437.520366,4.920366000000001,369.351806640625,-1.533447738966676,23950.53,74589.73790259442,cholesterol
SM-9SKIL,420.0,385.3465,424.951356,4.951355999999976,385.3461608886719,-0.589634372382853,490815.5,232486.7275136384,cholestenone
SM-9SKIL,450.0,371.3583,454.903254,4.903254000000004,371.3571472167969,-1.871560515102611,12399.19,0.0,coprostanol
SM-ACTOF,432.6,369.3519,433.776444,1.176444000000004,369.3525695800781,1.812851316385415,26373.51,132834.9720227398,cholesterol
SM-ACTOF,420.0,385.3465,424.951314,4.951314000000025,385.3463439941406,-0.853618242429087,262389.7,247538.1997720112,cholestenone
SM-ACTOF,450.0,371.3583,454.903206,4.903206000000012,371.3580627441406,-1.241527205117657,72072.81,13004.24808374947,coprostanol
SM-A7J1L,432.6,369.3519,437.520246,4.920245999999963,369.3514099121094,-1.354427624945642,196986.0,136694.677034505,cholesterol
SM-A7J1L,420.0,385.3465,424.951098,4.951098000000002,385.34625244140625,-0.457642437212224,1988249.0,779222.2490445625,cholestenone
SM-A7J1L,450.0,371.3583,445.275606,-4.724394000000018,371.3580017089844,-0.721064905471697,145315.4,173297.4098316369,coprostanol
SM-A5A1R,432.6,369.3519,437.429748,4.829747999999995,369.3511657714844,-2.015424969212722,157819.9,140970.4776928897,cholesterol
SM-A5A1R,420.0,385.3465,424.86075,4.860749999999996,385.3459777832031,-1.012008564515832,323456.7,356134.1848751507,cholestenone
SM-A5A1R,450.0,371.3583,445.987512,-4.012488000000019,371.35772705078125,0.429430704159218,35935.55,75930.50500009552,coprostanol
SM-9XIOJ,432.6,369.3519,437.520504,4.920503999999994,369.35150146484375,-1.354427624945642,134043.7,129787.776228852,cholesterol
SM-9XIOJ,420.0,385.3465,424.951374,4.951373999999987,385.3463134765625,-0.668829533426226,703225.8,331161.2753240473,cholestenone
SM-9XIOJ,450.0,371.3583,445.00851,-4.991489999999999,371.35821533203125,-0.638886647640917,98323.57,119098.3468429445,coprostanol
SM-7DGUW,432.6,369.3519,437.51997,4.919969999999978,369.3512268066406,-1.905258745116908,196346.1,161142.0681276806,cholesterol
SM-7DGUW,420.0,385.3465,424.950954,4.950954000000024,385.3462219238281,-0.906415016556344,740954.6,395618.2232407219,cholestenone
SM-7DGUW,450.0,371.3583,445.275468,-4.724532000000011,371.3585205078125,-0.58410114247142,36987.88,115099.1674781594,coprostanol
SM-7IWEO,432.6,369.3519,429.764832,-2.83516800000001,369.3506164550781,-3.475127437751222,18615.98,79017.51657572706,cholesterol
SM-7IWEO,420.0,385.3465,422.009448,2.00944800000002,385.3466491699219,-0.431244050296108,74075.58,288113.0468314313,cholestenone
SM-7IWEO,450.0,371.3583,450.0,0.0,371.3583,0.0,0.0,0.0,coprostanol
SM-9Y4AC,432.6,369.3519,436.183422,3.583421999999985,369.35113525390625,-2.070508081183678,31399.47,103072.0517818077,cholesterol
SM-9Y4AC,420.0,385.3465,424.951416,4.951415999999995,385.346435546875,-0.642431146362597,105672.0,200797.029624193,cholestenone
